ID,Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,Criminal Record,PokéBall Usage,Win Ratio,Number of Gym Badges,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Debt to Kanto,Charity Participation,Team Rocket
35,50,Saffron City,Low,Nurse,Poison,93,0,MasterBall,28,1,False,Defensive,8,False,60418,True,No
36,43,Pallet Town,Middle,Elite Trainer,Ground,51,0,MasterBall,47,5,False,Unpredictable,7,False,71086,True,No
37,20,Celadon City,Middle,PokéMart Seller,Steel,24,0,DuskBall,36,0,False,Unpredictable,28,True,186932,False,Yes
38,15,Vermilion City,Low,Champion,Fighting,72,0,HealBall,84,3,False,Unpredictable,6,False,96652,True,No
39,55,Saffron City,Middle,Biker,Electric,92,0,LuxuryBall,77,1,False,Unpredictable,12,False,94977,True,No
40,38,Pewter City,Low,Police Officer,Ground,45,0,PokéBall,57,3,False,Defensive,13,False,53794,True,No
41,31,Cinnabar Island,Low,Nurse,Normal,18,1,MasterBall,31,2,False,Unpredictable,27,True,348688,True,Yes
42,40,Celadon City,Low,Breeder,Flying,33,0,DarkBall,74,4,False,Aggressive,17,False,86300,True,No
43,56,Pewter City,Middle,Underground Battler,Psychic,96,0,DarkBall,41,1,False,Aggressive,22,False,64133,True,No
44,29,Pewter City,High,Fisherman,Ice,99,1,LuxuryBall,46,5,False,Defensive,13,True,200145,False,Yes
45,56,Saffron City,Middle,Breeder,Fighting,90,0,DuskBall,49,0,False,Defensive,18,False,9905,True,No
46,42,Pallet Town,Low,Fisherman,Fire,58,0,HealBall,25,5,False,Aggressive,21,False,45170,True,No
47,47,Lavender Town,Middle,Fisherman,Electric,96,0,HealBall,32,1,False,Aggressive,14,False,89183,True,No
48,32,Saffron City,Low,Black Market Dealer,Ghost,30,0,PokéBall,47,3,False,Aggressive,14,False,19506,True,No
49,15,Cerulean City,Low,Breeder,Normal,53,0,GreatBall,40,1,False,Defensive,15,False,14696,True,No
50,20,Pallet Town,Middle,PokéMart Seller,Rock,16,0,MasterBall,75,5,False,Unpredictable,10,False,175785,False,Yes
51,26,Cinnabar Island,Low,Casino Worker,Poison,98,0,GreatBall,51,2,False,Unpredictable,25,False,86543,True,No
52,29,Celadon City,Middle,Biker,Grass,19,0,GreatBall,51,0,False,Aggressive,5,False,58101,True,No
53,44,Celadon City,Low,Black Market Dealer,Flying,84,0,TimerBall,62,2,False,Aggressive,6,False,62011,True,No
54,51,Vermilion City,Middle,Rocket Grunt,Psychic,34,0,UltraBall,36,1,False,Defensive,18,False,92820,True,No
55,44,Pewter City,High,Nurse,Poison,78,0,DuskBall,74,0,False,Unpredictable,6,False,27429,True,No
56,55,Pallet Town,High,Fisherman,Poison,59,0,HealBall,66,5,False,Unpredictable,19,False,16905,True,No
57,57,Saffron City,Middle,Scientist,Normal,77,0,LuxuryBall,22,7,False,Defensive,17,False,97699,True,No
58,50,Saffron City,Middle,Nurse,Water,78,0,UltraBall,74,0,False,Unpredictable,11,False,2804,True,No
59,18,Cerulean City,Low,Rocket Grunt,Electric,55,0,NetBall,38,4,False,Unpredictable,25,False,7195,True,No
60,69,Pewter City,Low,Police Officer,Flying,26,0,UltraBall,75,4,False,Unpredictable,22,False,53350,True,No
61,40,Pallet Town,Low,Scientist,Rock,57,0,DarkBall,37,0,False,Aggressive,11,False,44933,True,No
62,44,Cinnabar Island,Low,Champion,Grass,66,0,HealBall,57,0,False,Aggressive,17,False,18209,True,No
63,44,Pallet Town,Low,Gym Leader Assistant,Bug,100,0,UltraBall,77,0,False,Unpredictable,11,False,74247,True,No
64,49,Saffron City,Middle,Black Market Dealer,Electric,79,0,NetBall,48,0,False,Aggressive,25,False,96506,True,No
65,35,Cinnabar Island,Low,Researcher,Fighting,28,0,UltraBall,46,2,False,Defensive,17,False,20097,True,No
66,46,Saffron City,Middle,Police Officer,Fairy,43,0,DuskBall,75,2,False,Aggressive,26,True,58067,True,Yes
67,10,Vermilion City,Low,PokéMart Seller,Fire,98,0,LuxuryBall,71,2,False,Aggressive,10,False,63253,True,No
68,33,Lavender Town,Middle,Police Officer,Ground,9,0,MasterBall,63,1,False,Unpredictable,18,False,31400,True,No
69,30,Saffron City,High,Researcher,Ice,65,0,HealBall,27,7,False,Unpredictable,24,False,17297,True,No
70,44,Pewter City,Middle,Elite Trainer,Steel,34,0,NetBall,68,0,False,Unpredictable,11,False,65059,True,No
71,32,Fuchsia City,Middle,PokéMart Seller,Bug,47,0,DuskBall,44,1,False,Defensive,22,False,49345,True,No
72,31,Vermilion City,Middle,Gym Leader Assistant,Ground,23,0,TimerBall,43,5,False,Aggressive,9,False,17487,True,No
73,26,Pallet Town,Low,Scientist,Fairy,27,0,UltraBall,34,0,False,Unpredictable,2,False,6532,True,No
74,58,Viridian City,Low,Gym Leader Assistant,Grass,13,0,UltraBall,78,1,False,Defensive,17,False,29373,True,No
75,10,Celadon City,Low,Daycare Worker,Ice,90,0,DuskBall,59,0,False,Unpredictable,12,False,98608,True,No
76,36,Viridian City,Low,Scientist,Ice,22,0,PokéBall,74,3,False,Defensive,8,False,99046,True,No
77,13,Fuchsia City,Middle,Daycare Worker,Flying,74,0,PokéBall,59,0,False,Unpredictable,4,False,50289,True,No
78,53,Cinnabar Island,Middle,Elite Trainer,Ice,9,0,MasterBall,66,2,False,Unpredictable,0,False,73816,True,No
79,11,Viridian City,Low,Nurse,Electric,8,0,DarkBall,61,2,False,Unpredictable,15,False,28192,True,No
80,40,Saffron City,Low,Underground Battler,Dark,100,0,PokéBall,75,0,False,Defensive,25,False,18294,True,No
81,54,Pewter City,Low,Gym Leader Assistant,Fairy,69,0,PokéBall,57,5,False,Defensive,3,False,59184,True,No
82,64,Celadon City,Low,Rocket Grunt,Steel,71,0,DuskBall,73,0,False,Unpredictable,6,False,34124,True,No
83,52,Pewter City,Middle,Black Market Dealer,Grass,54,0,PokéBall,41,4,False,Defensive,6,False,59423,True,No
84,51,Saffron City,Middle,Black Market Dealer,Poison,38,1,LuxuryBall,76,3,False,Defensive,13,True,40523,True,Yes
85,16,Pewter City,Low,Underground Battler,Water,89,0,MasterBall,68,3,False,Unpredictable,10,False,9319,True,No
86,53,Saffron City,Low,Black Market Dealer,Normal,56,0,HealBall,84,4,False,Aggressive,19,False,51090,True,No
87,24,Cerulean City,Middle,Rocket Grunt,Dark,30,1,TimerBall,66,7,False,Unpredictable,11,True,300447,False,Yes
88,11,Lavender Town,Low,Police Officer,Flying,20,0,DarkBall,78,1,False,Defensive,5,False,167351,False,Yes
89,43,Pewter City,Middle,Underground Battler,Grass,53,0,TimerBall,53,1,False,Defensive,22,False,31902,True,No
90,67,Lavender Town,Middle,Casino Worker,Electric,52,0,PokéBall,26,2,False,Unpredictable,18,False,93719,True,No
91,39,Fuchsia City,Low,Researcher,Bug,90,0,MasterBall,55,0,False,Aggressive,17,False,26461,True,No
92,15,Saffron City,High,Elite Trainer,Steel,98,0,HealBall,76,3,False,Unpredictable,17,False,65774,True,No
93,37,Celadon City,Low,Rocket Grunt,Ghost,93,0,DarkBall,23,3,False,Defensive,6,False,45512,True,No
94,32,Pewter City,Low,Fisherman,Rock,40,0,MasterBall,70,2,False,Unpredictable,14,False,41318,True,No
95,49,Pallet Town,Middle,Champion,Fairy,60,0,LuxuryBall,33,2,False,Aggressive,19,False,50385,True,No
96,43,Cerulean City,High,Rocket Grunt,Steel,31,0,HealBall,46,0,False,Defensive,20,False,97333,True,No
97,28,Saffron City,Low,Gym Leader Assistant,Flying,46,0,GreatBall,35,1,False,Unpredictable,1,False,25006,True,No
98,33,Pewter City,High,Gym Leader Assistant,Dragon,56,0,TimerBall,73,6,False,Aggressive,25,False,7119,True,No
99,40,Celadon City,Middle,Underground Battler,Grass,59,0,UltraBall,23,4,False,Unpredictable,1,False,61592,True,No
100,41,Cinnabar Island,Low,Biker,Steel,50,0,HealBall,53,1,False,Aggressive,25,False,75846,True,No
101,26,Fuchsia City,Low,Police Officer,Fire,24,0,TimerBall,32,0,False,Unpredictable,7,False,28246,True,No
102,67,Cinnabar Island,Middle,Fisherman,Dark,46,0,TimerBall,21,6,False,Defensive,21,False,58336,True,No
103,58,Vermilion City,Middle,Black Market Dealer,Poison,7,1,LuxuryBall,48,0,True,Defensive,28,True,192550,False,Yes
104,43,Fuchsia City,High,Elite Trainer,Rock,66,0,UltraBall,42,1,False,Unpredictable,6,False,83453,True,No
105,52,Pallet Town,Middle,Elite Trainer,Dark,90,0,UltraBall,84,3,False,Aggressive,11,False,89357,True,No
106,19,Cerulean City,Low,PokéMart Seller,Rock,20,0,TimerBall,43,0,False,Aggressive,3,True,307889,False,Yes
107,22,Saffron City,Middle,Researcher,Fire,6,0,DuskBall,73,1,False,Defensive,6,False,88000,True,No
108,48,Pallet Town,Middle,Police Officer,Electric,41,0,DuskBall,42,6,True,Aggressive,20,False,16253,False,Yes
109,30,Vermilion City,High,Breeder,Electric,71,0,GreatBall,83,3,False,Unpredictable,2,False,35673,True,No
110,61,Lavender Town,Low,Black Market Dealer,Grass,51,0,LuxuryBall,37,3,False,Aggressive,22,False,57614,True,No
111,44,Cinnabar Island,Middle,Black Market Dealer,Fighting,75,1,NetBall,34,0,False,Aggressive,9,True,369529,False,Yes
112,34,Cinnabar Island,Middle,Casino Worker,Grass,90,0,PokéBall,55,1,False,Defensive,6,False,21517,True,No
113,32,Pewter City,Middle,Daycare Worker,Fairy,60,0,DuskBall,23,6,False,Defensive,9,False,34661,True,No
114,70,Saffron City,Low,Underground Battler,Ice,96,0,PokéBall,78,2,False,Aggressive,14,False,95894,True,No
115,55,Vermilion City,Low,Breeder,Flying,82,0,HealBall,40,0,False,Aggressive,19,False,1751,True,No
116,57,Celadon City,Low,PokéMart Seller,Poison,35,1,GreatBall,70,0,False,Aggressive,20,True,190080,False,Yes
117,51,Viridian City,Middle,Researcher,Normal,87,0,PokéBall,40,7,False,Aggressive,10,False,56737,True,No
118,37,Viridian City,Low,Elite Trainer,Ghost,17,0,GreatBall,49,0,False,Aggressive,24,False,5338,True,No
119,52,Saffron City,Middle,Elite Trainer,Flying,32,0,LuxuryBall,50,5,False,Unpredictable,13,True,342092,True,Yes
120,25,Cerulean City,Low,Casino Worker,Psychic,38,0,DuskBall,56,1,False,Unpredictable,25,False,67370,True,No
121,11,Viridian City,High,Casino Worker,Poison,96,0,LuxuryBall,47,5,False,Aggressive,0,False,12095,True,No
122,27,Cinnabar Island,Middle,Police Officer,Ghost,14,1,MasterBall,33,3,False,Aggressive,29,False,54529,False,Yes
123,68,Lavender Town,Middle,Scientist,Fighting,81,0,MasterBall,58,1,False,Aggressive,24,False,66618,True,No
124,16,Fuchsia City,High,Underground Battler,Fire,10,0,HealBall,38,0,False,Unpredictable,16,False,55432,True,No
125,55,Cinnabar Island,Middle,Casino Worker,Bug,93,0,MasterBall,72,3,False,Defensive,18,False,30037,True,No
126,70,Vermilion City,Low,Biker,Dark,42,0,UltraBall,51,0,False,Unpredictable,24,False,87702,True,No
127,21,Pallet Town,Middle,Underground Battler,Dragon,60,0,LuxuryBall,78,0,False,Defensive,12,False,347,True,No
128,25,Saffron City,High,Nurse,Flying,55,0,TimerBall,76,4,False,Unpredictable,20,True,280326,False,Yes
129,16,Viridian City,Low,Casino Worker,Dark,55,0,TimerBall,32,5,False,Defensive,3,False,85659,True,No
130,42,Pewter City,Middle,PokéMart Seller,Ground,74,0,GreatBall,20,5,False,Defensive,18,False,47087,True,No
131,22,Lavender Town,High,Champion,Rock,62,0,UltraBall,62,2,False,Defensive,7,False,12235,True,No
132,16,Viridian City,Low,PokéMart Seller,Ice,32,0,UltraBall,20,2,False,Unpredictable,17,False,31169,True,No
133,24,Pallet Town,High,Nurse,Flying,55,0,TimerBall,72,5,False,Unpredictable,16,False,10283,True,No
134,68,Viridian City,Low,Rocket Grunt,Bug,67,0,PokéBall,59,2,False,Aggressive,1,False,69202,True,No
135,68,Celadon City,Middle,Gym Leader Assistant,Fairy,63,0,DuskBall,43,0,False,Aggressive,13,False,99007,True,No
136,36,Pallet Town,Middle,Police Officer,Fire,14,0,LuxuryBall,50,3,False,Unpredictable,25,False,21605,True,No
137,49,Cerulean City,Low,Casino Worker,Dark,96,1,UltraBall,52,2,False,Defensive,16,False,88284,False,Yes
138,37,Pallet Town,Low,Biker,Fairy,24,0,MasterBall,79,3,False,Defensive,25,False,40610,True,No
139,29,Vermilion City,High,Biker,Normal,72,0,NetBall,85,2,False,Unpredictable,19,False,55093,True,No
140,34,Cerulean City,Middle,Police Officer,Dark,53,0,MasterBall,70,6,False,Unpredictable,4,False,37414,True,No
141,65,Pewter City,High,Underground Battler,Fairy,57,0,TimerBall,24,3,False,Defensive,23,False,61264,True,No
142,39,Saffron City,Low,Police Officer,Psychic,69,0,GreatBall,79,5,False,Unpredictable,17,False,75328,True,No
143,18,Cinnabar Island,Low,Biker,Steel,84,0,NetBall,76,4,False,Defensive,18,False,30771,True,No
144,41,Celadon City,Low,Black Market Dealer,Dark,97,0,NetBall,31,3,False,Aggressive,22,True,51375,True,Yes
145,57,Fuchsia City,Middle,Black Market Dealer,Poison,65,0,PokéBall,69,2,False,Unpredictable,9,False,60019,True,No
146,59,Lavender Town,High,Scientist,Grass,16,0,DuskBall,86,0,False,Unpredictable,23,True,139125,False,Yes
147,21,Cerulean City,Middle,Casino Worker,Ghost,94,0,PokéBall,35,4,False,Defensive,1,False,70592,True,No
148,32,Saffron City,Low,Champion,Psychic,39,0,HealBall,40,4,False,Unpredictable,13,False,276,True,No
149,45,Lavender Town,Middle,PokéMart Seller,Steel,82,0,GreatBall,62,0,False,Unpredictable,1,False,97282,True,No
150,60,Pewter City,Middle,Champion,Grass,74,0,TimerBall,72,0,False,Unpredictable,20,False,81296,True,No
151,25,Celadon City,Low,Fisherman,Fire,87,0,GreatBall,62,0,False,Unpredictable,0,False,31435,True,No
152,10,Viridian City,Middle,Rocket Grunt,Bug,91,0,LuxuryBall,20,5,False,Defensive,1,False,6429,True,No
153,24,Cerulean City,High,Biker,Fairy,48,0,HealBall,84,1,False,Defensive,19,False,52925,True,No
154,30,Cerulean City,Low,Champion,Ground,72,0,MasterBall,60,4,False,Unpredictable,25,False,52642,True,No
155,66,Cerulean City,Low,Champion,Rock,66,0,DarkBall,71,4,False,Unpredictable,17,False,35716,True,No
156,37,Fuchsia City,Middle,Fisherman,Normal,9,0,NetBall,78,0,False,Defensive,13,False,36987,True,No
157,10,Pallet Town,Middle,Rocket Grunt,Psychic,98,0,DarkBall,80,0,False,Defensive,1,False,57758,True,No
158,48,Vermilion City,Middle,PokéMart Seller,Bug,18,0,MasterBall,56,0,False,Aggressive,21,False,89702,True,No
159,57,Cerulean City,High,Elite Trainer,Ice,94,0,DuskBall,31,3,False,Unpredictable,14,False,89268,True,No
160,13,Pallet Town,High,Casino Worker,Bug,37,0,TimerBall,83,4,False,Aggressive,3,False,5454,True,No
161,50,Cinnabar Island,Middle,Rocket Grunt,Fighting,42,0,LuxuryBall,46,5,False,Defensive,21,False,42006,True,No
162,66,Celadon City,Low,PokéMart Seller,Dark,33,0,TimerBall,29,6,False,Aggressive,1,False,85725,True,No
163,52,Cinnabar Island,Low,Researcher,Steel,100,0,TimerBall,71,4,False,Aggressive,14,False,208885,False,Yes
164,49,Vermilion City,Low,Fisherman,Grass,35,0,HealBall,67,3,False,Unpredictable,1,False,99729,True,No
165,61,Celadon City,Low,Fisherman,Ice,16,0,DarkBall,30,5,False,Defensive,23,False,10675,True,No
166,46,Fuchsia City,Middle,Fisherman,Dragon,53,0,DuskBall,71,2,False,Defensive,21,False,62064,True,No
167,32,Viridian City,Low,Police Officer,Poison,59,0,UltraBall,74,0,False,Defensive,11,False,14595,True,No
168,14,Saffron City,Low,Researcher,Fire,89,0,MasterBall,69,0,False,Unpredictable,18,False,97191,True,No
169,54,Vermilion City,Low,Fisherman,Fire,52,0,NetBall,30,4,False,Defensive,6,False,29477,True,No
170,54,Saffron City,Low,Police Officer,Dark,47,0,GreatBall,85,2,False,Aggressive,10,False,20475,True,No
171,13,Celadon City,Middle,PokéMart Seller,Dark,84,0,PokéBall,79,0,False,Aggressive,19,False,69134,True,No
172,40,Pallet Town,High,Underground Battler,Grass,59,0,PokéBall,59,1,False,Aggressive,1,False,66519,True,No
173,39,Cinnabar Island,High,Breeder,Water,37,0,PokéBall,85,3,False,Aggressive,11,False,70278,True,No
174,36,Viridian City,Middle,Champion,Electric,9,0,GreatBall,61,0,False,Aggressive,22,False,22660,True,No
175,65,Saffron City,Middle,Researcher,Water,84,0,UltraBall,20,3,False,Defensive,3,False,69219,True,No
176,42,Cinnabar Island,Middle,Underground Battler,Psychic,22,0,MasterBall,47,7,False,Unpredictable,8,False,40630,True,No
177,45,Lavender Town,Middle,Daycare Worker,Fighting,58,0,PokéBall,79,2,False,Unpredictable,1,False,79292,True,No
178,32,Cinnabar Island,Middle,Police Officer,Electric,68,0,NetBall,28,3,False,Aggressive,3,False,54373,True,No
179,46,Fuchsia City,Middle,Gym Leader Assistant,Normal,38,0,DarkBall,32,8,False,Unpredictable,6,False,75370,True,No
180,46,Saffron City,Middle,Gym Leader Assistant,Fairy,46,0,LuxuryBall,59,1,False,Defensive,20,False,14182,True,No
181,10,Fuchsia City,Middle,Scientist,Normal,66,0,PokéBall,53,1,False,Aggressive,19,False,91878,True,No
182,49,Saffron City,Middle,Scientist,Ghost,23,0,GreatBall,76,3,False,Aggressive,17,False,74977,True,No
183,58,Cerulean City,Middle,Police Officer,Bug,41,0,HealBall,23,3,False,Aggressive,9,False,91374,True,No
184,29,Pallet Town,Middle,Biker,Poison,62,0,GreatBall,48,1,False,Defensive,21,False,27406,True,No
185,68,Pallet Town,Middle,Scientist,Electric,42,0,DarkBall,30,0,False,Unpredictable,14,False,17170,True,No
186,41,Lavender Town,Middle,Rocket Grunt,Steel,28,0,TimerBall,49,2,False,Unpredictable,6,False,25834,True,No
187,39,Viridian City,High,Underground Battler,Fire,49,0,UltraBall,33,1,False,Unpredictable,19,False,35889,True,No
188,42,Viridian City,Middle,Black Market Dealer,Psychic,50,0,GreatBall,65,3,False,Unpredictable,2,False,50831,True,No
189,60,Viridian City,Low,Biker,Fire,38,0,TimerBall,76,3,False,Defensive,21,False,79443,True,No
190,32,Vermilion City,Middle,Nurse,Normal,18,0,UltraBall,28,0,False,Aggressive,15,False,31694,True,No
191,31,Saffron City,Middle,Breeder,Ground,26,0,UltraBall,75,1,False,Unpredictable,8,False,90257,True,No
192,44,Saffron City,High,Daycare Worker,Dragon,43,0,DarkBall,61,2,False,Aggressive,22,False,40816,True,No
193,36,Cerulean City,Middle,Police Officer,Steel,42,0,TimerBall,79,2,False,Aggressive,4,False,72202,True,No
194,37,Fuchsia City,Low,Nurse,Poison,47,0,TimerBall,83,2,False,Aggressive,21,False,84931,True,No
195,55,Vermilion City,Middle,Scientist,Flying,65,0,NetBall,36,3,False,Unpredictable,6,False,87641,True,No
196,30,Pallet Town,Low,Biker,Rock,17,1,MasterBall,90,0,False,Aggressive,20,False,208466,False,Yes
197,49,Vermilion City,Middle,Breeder,Flying,35,0,NetBall,32,0,False,Defensive,22,False,6985,True,No
198,35,Pallet Town,Middle,Champion,Ice,57,0,MasterBall,39,0,False,Defensive,15,False,88251,True,No
199,59,Pallet Town,Low,Fisherman,Water,26,0,UltraBall,77,0,False,Aggressive,7,False,7155,True,No
200,67,Vermilion City,High,Researcher,Bug,100,0,GreatBall,58,5,False,Unpredictable,18,False,64728,True,No
201,59,Celadon City,High,Casino Worker,Fire,13,0,PokéBall,38,1,False,Unpredictable,6,False,86689,True,No
202,66,Celadon City,Middle,Fisherman,Poison,15,0,DuskBall,55,0,False,Aggressive,14,False,95364,True,No
203,31,Pallet Town,High,Underground Battler,Dragon,35,0,NetBall,68,2,False,Aggressive,1,False,26599,True,No
204,55,Fuchsia City,Middle,Rocket Grunt,Fire,43,0,DuskBall,54,0,False,Defensive,8,False,14789,True,No
205,11,Cinnabar Island,Middle,Black Market Dealer,Dark,78,1,DuskBall,74,0,False,Aggressive,26,True,111824,False,Yes
206,70,Saffron City,Middle,Underground Battler,Fighting,54,0,DuskBall,32,4,False,Unpredictable,11,True,198434,False,Yes
207,53,Pallet Town,Low,Rocket Grunt,Rock,59,0,TimerBall,48,1,False,Unpredictable,18,False,66635,True,No
208,21,Pallet Town,Middle,Champion,Normal,92,0,GreatBall,61,5,False,Unpredictable,11,False,81639,True,No
209,29,Lavender Town,Middle,Police Officer,Rock,55,1,DuskBall,84,0,True,Aggressive,26,True,101985,False,Yes
210,61,Cinnabar Island,Middle,Underground Battler,Grass,100,1,HealBall,66,0,False,Unpredictable,3,True,395880,True,Yes
211,69,Fuchsia City,Middle,Researcher,Dragon,36,0,LuxuryBall,45,3,False,Unpredictable,1,False,16575,True,No
212,16,Viridian City,Low,Rocket Grunt,Ice,48,0,GreatBall,44,5,False,Aggressive,4,False,42972,True,No
213,51,Lavender Town,Low,Elite Trainer,Electric,79,0,DarkBall,66,1,False,Unpredictable,9,False,5185,True,No
214,64,Pewter City,Low,Champion,Flying,41,0,NetBall,31,0,False,Unpredictable,3,False,91967,True,No
215,10,Cinnabar Island,Middle,Daycare Worker,Grass,46,0,TimerBall,29,1,False,Unpredictable,23,False,4366,True,No
216,52,Pallet Town,Middle,Casino Worker,Fighting,65,0,UltraBall,21,1,False,Aggressive,4,False,93514,True,No
217,26,Pallet Town,Low,Biker,Ground,17,0,TimerBall,49,2,False,Defensive,24,False,33133,True,No
218,64,Cerulean City,Middle,Breeder,Steel,75,0,NetBall,82,0,False,Aggressive,14,False,83031,True,No
219,65,Cerulean City,Low,Elite Trainer,Fairy,64,0,MasterBall,83,1,False,Unpredictable,24,False,85303,True,No
220,58,Viridian City,Low,Researcher,Psychic,45,0,DarkBall,34,4,False,Unpredictable,23,False,1257,True,No
221,23,Saffron City,Middle,Biker,Ground,25,0,DuskBall,58,1,False,Aggressive,13,False,33465,True,No
222,11,Vermilion City,Low,Breeder,Fire,92,0,PokéBall,26,4,False,Unpredictable,1,False,27953,True,No
223,55,Pewter City,Middle,Fisherman,Ghost,95,0,HealBall,35,3,False,Aggressive,22,False,53432,True,No
224,64,Fuchsia City,Middle,Police Officer,Water,90,0,MasterBall,37,0,False,Aggressive,21,False,8158,True,No
225,68,Vermilion City,High,Fisherman,Poison,94,0,PokéBall,60,7,False,Defensive,24,False,98947,True,No
226,70,Fuchsia City,Middle,Nurse,Poison,82,0,HealBall,45,1,False,Unpredictable,12,False,71672,True,No
227,17,Saffron City,Middle,Biker,Flying,57,1,NetBall,57,3,False,Defensive,23,True,236943,False,Yes
228,69,Pallet Town,Middle,Biker,Ice,70,0,DarkBall,80,4,False,Defensive,5,False,3939,True,No
229,29,Pewter City,Middle,Biker,Steel,18,0,UltraBall,51,0,False,Aggressive,2,False,67052,True,No
230,35,Celadon City,High,Researcher,Poison,86,0,GreatBall,56,4,True,Defensive,23,True,319106,False,Yes
231,31,Viridian City,Middle,Daycare Worker,Psychic,56,0,HealBall,59,1,False,Aggressive,15,False,190280,False,Yes
232,13,Cerulean City,Middle,Black Market Dealer,Flying,61,0,HealBall,32,1,False,Defensive,15,False,63828,True,No
233,38,Pewter City,Low,Daycare Worker,Dark,84,0,TimerBall,69,1,False,Unpredictable,21,False,22360,True,No
